head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
1153,chemicalentity_chemicalentity,6919035,-0.25738608837127686,-0.2425281074611494,REJECT,tyrosine,D-tyrosine zwitterion,[],False,False,False,False,,,
1153,chemicalentity_biologicalprocess,GO:0006450,-0.08407727628946304,-0.232143107153421,ACCEPT,tyrosine,regulation of translational fidelity,[],False,False,False,False,,,
1153,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006450,-0.32071539759635925,-0.596142909254255,ACCEPT,tyrosine,regulation of translational fidelity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3207, 'chemicalentity_noeffect_biologicalprocess': -1.8629, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6543, 'chemicalentity_promotes_biologicalprocess': -0.7961, 'chemicalentity_inhibits_biologicalprocess': -0.5423, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4608}"
1153,chemicalentity_biologicalprocess,GO:1990145,-0.12493740022182465,-0.232143107153421,ACCEPT,tyrosine,maintenance of translational fidelity,[],False,False,False,False,,,
1153,chemicalentity_inhibits_biologicalprocess,GO:1990145,-0.3045637011528015,-0.7050372264239742,ACCEPT,tyrosine,maintenance of translational fidelity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3594, 'chemicalentity_noeffect_biologicalprocess': -1.3331, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5576, 'chemicalentity_promotes_biologicalprocess': -0.5285, 'chemicalentity_inhibits_biologicalprocess': -0.3046, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5524}"
1153,chemicalentity_biologicalprocess,GO:0045902,-0.17466099560260773,-0.232143107153421,ACCEPT,tyrosine,negative regulation of translational fidelity,[],False,False,False,False,,,
1153,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0045902,-0.3987734317779541,-0.596142909254255,ACCEPT,tyrosine,negative regulation of translational fidelity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3988, 'chemicalentity_noeffect_biologicalprocess': -1.1603, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6445, 'chemicalentity_promotes_biologicalprocess': -0.6981, 'chemicalentity_inhibits_biologicalprocess': -0.4914, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5808}"
1153,chemicalentity_biologicalprocess,GO:0045903,-0.1054244264960289,-0.232143107153421,ACCEPT,tyrosine,positive regulation of translational fidelity,[],False,False,False,False,,,
1153,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0045903,-0.2777244746685028,-0.596142909254255,ACCEPT,tyrosine,positive regulation of translational fidelity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2777, 'chemicalentity_noeffect_biologicalprocess': -1.769, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5366, 'chemicalentity_promotes_biologicalprocess': -0.5804, 'chemicalentity_inhibits_biologicalprocess': -0.3634, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4875}"
1153,chemicalentity_biologicalprocess,GO:0140018,-0.2056226283311844,-0.232143107153421,ACCEPT,tyrosine,regulation of cytoplasmic translational fidelity,[],False,False,False,False,,,
1153,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0140018,-0.4365255534648895,-0.596142909254255,ACCEPT,tyrosine,regulation of cytoplasmic translational fidelity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4365, 'chemicalentity_noeffect_biologicalprocess': -1.3542, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6678, 'chemicalentity_promotes_biologicalprocess': -0.7628, 'chemicalentity_inhibits_biologicalprocess': -0.5218, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5358}"
1153,chemicalentity_biologicalprocess,GO:0070370,-0.10114212334156036,-0.232143107153421,ACCEPT,tyrosine,cellular heat acclimation,[],False,False,False,False,,,
1153,chemicalentity_inhibits_biologicalprocess,GO:0070370,-0.27885711193084717,-0.7050372264239742,ACCEPT,tyrosine,cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.484, 'chemicalentity_noeffect_biologicalprocess': -1.2042, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6779, 'chemicalentity_promotes_biologicalprocess': -0.5115, 'chemicalentity_inhibits_biologicalprocess': -0.2789, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7992}"
6919035,chemicalentity_biologicalprocess,GO:0006450,-1.297957181930542,-0.232143107153421,REJECT,D-tyrosine zwitterion,regulation of translational fidelity,[],False,False,False,False,,,
6919035,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0006450,-1.2400447130203247,-0.5654679724376828,REJECT,D-tyrosine zwitterion,regulation of translational fidelity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.3783, 'chemicalentity_noeffect_biologicalprocess': -2.6131, 'chemicalentity_notassociatedwith_biologicalprocess': -1.519, 'chemicalentity_promotes_biologicalprocess': -2.3851, 'chemicalentity_inhibits_biologicalprocess': -2.1828, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.24}"
6919035,chemicalentity_biologicalprocess,GO:1990145,-1.1639055013656616,-0.232143107153421,REJECT,D-tyrosine zwitterion,maintenance of translational fidelity,[],False,False,False,False,,,
6919035,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1990145,-1.1000447273254395,-0.596142909254255,REJECT,D-tyrosine zwitterion,maintenance of translational fidelity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.1, 'chemicalentity_noeffect_biologicalprocess': -2.1685, 'chemicalentity_notassociatedwith_biologicalprocess': -1.3124, 'chemicalentity_promotes_biologicalprocess': -1.8936, 'chemicalentity_inhibits_biologicalprocess': -1.6886, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.1164}"
6919035,chemicalentity_biologicalprocess,GO:0045902,-0.9836803078651428,-0.232143107153421,REJECT,D-tyrosine zwitterion,negative regulation of translational fidelity,[],False,False,False,False,,,
6919035,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0045902,-0.925613522529602,-0.5654679724376828,REJECT,D-tyrosine zwitterion,negative regulation of translational fidelity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9716, 'chemicalentity_noeffect_biologicalprocess': -1.8849, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1293, 'chemicalentity_promotes_biologicalprocess': -1.7403, 'chemicalentity_inhibits_biologicalprocess': -1.6338, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9256}"
6919035,chemicalentity_biologicalprocess,GO:0045903,-1.4240856170654297,-0.232143107153421,REJECT,D-tyrosine zwitterion,positive regulation of translational fidelity,[],False,False,False,False,,,
6919035,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0045903,-1.223689079284668,-0.596142909254255,REJECT,D-tyrosine zwitterion,positive regulation of translational fidelity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.2237, 'chemicalentity_noeffect_biologicalprocess': -2.4742, 'chemicalentity_notassociatedwith_biologicalprocess': -1.5751, 'chemicalentity_promotes_biologicalprocess': -2.158, 'chemicalentity_inhibits_biologicalprocess': -1.9504, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.2974}"
6919035,chemicalentity_biologicalprocess,GO:0140018,-0.9487539529800415,-0.232143107153421,REJECT,D-tyrosine zwitterion,regulation of cytoplasmic translational fidelity,[],False,False,False,False,,,
6919035,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0140018,-0.8186115622520447,-0.596142909254255,REJECT,D-tyrosine zwitterion,regulation of cytoplasmic translational fidelity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.8186, 'chemicalentity_noeffect_biologicalprocess': -1.7998, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0305, 'chemicalentity_promotes_biologicalprocess': -1.6183, 'chemicalentity_inhibits_biologicalprocess': -1.5098, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9234}"
6919035,chemicalentity_biologicalprocess,GO:0070370,-1.2619571685791016,-0.232143107153421,REJECT,D-tyrosine zwitterion,cellular heat acclimation,[],False,False,False,False,,,
6919035,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0070370,-1.1600110530853271,-0.5654679724376828,REJECT,D-tyrosine zwitterion,cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.2208, 'chemicalentity_noeffect_biologicalprocess': -2.2888, 'chemicalentity_notassociatedwith_biologicalprocess': -1.4174, 'chemicalentity_promotes_biologicalprocess': -2.0186, 'chemicalentity_inhibits_biologicalprocess': -1.8016, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.16}"
GO:0000049,molecularfunction_chemicalentity,1153,-1.2800533771514893,-0.0232305970024153,REJECT,tRNA binding,tyrosine,[],False,False,False,False,,,
GO:0000049,molecularfunction_chemicalentity,6919035,-0.8698676824569702,-0.0232305970024153,REJECT,tRNA binding,D-tyrosine zwitterion,[],False,False,False,False,,,
GO:0000049,molecularfunction_biologicalprocess,GO:0006450,-1.5860176086425781,-0.0147993624499696,REJECT,tRNA binding,regulation of translational fidelity,[],False,False,False,False,,,
GO:0000049,molecularfunction_biologicalprocess,GO:1990145,-1.1847470998764038,-0.0147993624499696,REJECT,tRNA binding,maintenance of translational fidelity,[],False,False,False,False,,,
GO:0000049,molecularfunction_biologicalprocess,GO:0045902,-1.2270798683166504,-0.0147993624499696,REJECT,tRNA binding,negative regulation of translational fidelity,[],False,False,False,False,,,
GO:0000049,molecularfunction_biologicalprocess,GO:0045903,-1.4713209867477417,-0.0147993624499696,REJECT,tRNA binding,positive regulation of translational fidelity,[],False,False,False,False,,,
GO:0000049,molecularfunction_biologicalprocess,GO:0140018,-1.0837490558624268,-0.0147993624499696,REJECT,tRNA binding,regulation of cytoplasmic translational fidelity,[],False,False,False,False,,,
GO:0000049,molecularfunction_biologicalprocess,GO:0070370,-1.324872374534607,-0.0147993624499696,REJECT,tRNA binding,cellular heat acclimation,[],False,False,False,False,,,
GO:0006450,biologicalprocess_biologicalprocess,GO:1990145,-0.045815322548151016,-0.0422867482620858,REJECT,regulation of translational fidelity,maintenance of translational fidelity,[],False,False,False,False,,,
GO:0006450,biologicalprocess_biologicalprocess,GO:0045902,-0.08312370628118515,-0.0422867482620858,REJECT,regulation of translational fidelity,negative regulation of translational fidelity,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0006450,biologicalprocess_biologicalprocess,GO:0045903,-0.026125991716980934,-0.0422867482620858,ACCEPT,regulation of translational fidelity,positive regulation of translational fidelity,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0006450,biologicalprocess_biologicalprocess,GO:0140018,-0.11180367320775986,-0.0422867482620858,REJECT,regulation of translational fidelity,regulation of cytoplasmic translational fidelity,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0006450,biologicalprocess_biologicalprocess,GO:0070370,-0.035917386412620544,-0.0422867482620858,ACCEPT,regulation of translational fidelity,cellular heat acclimation,[],False,False,False,False,,,
GO:1990145,biologicalprocess_biologicalprocess,GO:0045902,-0.13180555403232574,-0.0422867482620858,REJECT,maintenance of translational fidelity,negative regulation of translational fidelity,[],False,False,False,False,,,
GO:1990145,biologicalprocess_biologicalprocess,GO:0045903,-0.052556708455085754,-0.0422867482620858,REJECT,maintenance of translational fidelity,positive regulation of translational fidelity,[],False,False,False,False,,,
GO:1990145,biologicalprocess_biologicalprocess,GO:0140018,-0.16774292290210724,-0.0422867482620858,REJECT,maintenance of translational fidelity,regulation of cytoplasmic translational fidelity,[],False,False,False,False,,,
GO:1990145,biologicalprocess_biologicalprocess,GO:0070370,-0.06928475946187973,-0.0422867482620858,REJECT,maintenance of translational fidelity,cellular heat acclimation,[],False,False,False,False,,,
GO:0045902,biologicalprocess_biologicalprocess,GO:0045903,-0.28650811314582825,-0.0422867482620858,REJECT,negative regulation of translational fidelity,positive regulation of translational fidelity,[],False,False,False,False,,,
GO:0045902,biologicalprocess_biologicalprocess,GO:0140018,-0.395550936460495,-0.0422867482620858,REJECT,negative regulation of translational fidelity,regulation of cytoplasmic translational fidelity,[],False,False,False,False,,,
GO:0045902,biologicalprocess_biologicalprocess,GO:0070370,-0.32853132486343384,-0.0422867482620858,REJECT,negative regulation of translational fidelity,cellular heat acclimation,[],False,False,False,False,,,
GO:0045903,biologicalprocess_biologicalprocess,GO:0140018,-0.08092886954545975,-0.0422867482620858,REJECT,positive regulation of translational fidelity,regulation of cytoplasmic translational fidelity,[],False,False,False,False,,,
GO:0045903,biologicalprocess_biologicalprocess,GO:0070370,-0.020455121994018555,-0.0422867482620858,ACCEPT,positive regulation of translational fidelity,cellular heat acclimation,[],False,False,False,False,,,
GO:0140018,biologicalprocess_biologicalprocess,GO:0070370,-0.3383263349533081,-0.0422867482620858,REJECT,regulation of cytoplasmic translational fidelity,cellular heat acclimation,[],False,False,False,False,,,
